id,unit_number,unit_size,unit_balcony_size,unit_current_price,unit_construction_year,unit_scan_date,unit_status_id,project_id,unit_category_id,unit_type_id,unit_url,unit_rooms,unit_floor,sqrm_price
1,1,44.8,4.3,102000,2021,2021-03-05,1,1,1,1,,2,1,2276.79
2,2,45.1,4.7,0,2021,2021-03-05,2,1,1,1,,2,1,0
3,3,63.5,8.9,138000,2021,2021-03-05,1,1,1,1,,3,1,2173.23
4,4,63.7,8.9,138000,2021,2021-03-05,1,1,1,1,,3,1,2166.41
5,5,45,4.7,102000,2021,2021-03-05,1,1,1,1,,2,1,2266.67
6,6,56.5,4.3,0,2021,2021-03-05,2,1,1,1,,3,1,0
7,7,49,4.3,0,2021,2021-03-05,1,1,1,1,,2,2,0
8,8,45.1,4.7,0,2021,2021-03-05,1,1,1,1,,2,2,0
9,9,63.5,8.9,0,2021,2021-03-05,1,1,1,1,,3,2,0
10,10,63.7,8.9,140000,2021,2021-03-05,1,1,1,1,,3,2,2197.8
11,11,45,4.7,103000,2021,2021-03-05,1,1,1,1,,2,2,2288.89
12,12,52.5,4.3,0,2021,2021-03-05,1,1,1,1,,3,2,0
13,13,49,4.3,112000,2021,2021-03-05,1,1,1,1,,2,3,2285.71
14,14,45.1,4.7,105000,2021,2021-03-05,1,1,1,1,,2,3,2328.16
15,15,63.5,8.9,143000,2021,2021-03-05,1,1,1,1,,3,3,2251.97
16,16,63.7,8.9,143000,2021,2021-03-05,1,1,1,1,,3,3,2244.9
17,17,45,4.7,105000,2021,2021-03-05,1,1,1,1,,2,3,2333.33
18,18,52.5,4.3,123000,2021,2021-03-05,1,1,1,1,,3,3,2342.86
19,19,49,4.3,0,2021,2021-03-05,3,1,1,1,,2,4,0
20,20,45.1,4.7,0,2021,2021-03-05,2,1,1,1,,2,4,0
21,21,63.5,8.9,143000,2021,2021-03-05,1,1,1,1,,3,4,2251.97
22,22,63.7,8.9,143000,2021,2021-03-05,1,1,1,1,,3,4,2244.9
23,23,45,4.7,0,2021,2021-03-05,2,1,1,1,,2,4,0
24,24,52.5,4.3,123000,2021,2021-03-05,1,1,1,1,,3,4,2342.86
25,25,49.3,4.3,112000,2021,2021-03-05,1,1,1,1,,2,5,2271.81
26,26,45.4,4.7,0,2021,2021-03-05,2,1,1,1,,2,5,0
27,27,64,8.9,143000,2021,2021-03-05,1,1,1,1,,3,5,2234.38
28,28,64.2,8.9,143000,2021,2021-03-05,1,1,1,1,,3,5,2227.41
29,29,45.4,4.7,0,2021,2021-03-05,2,1,1,1,,2,5,0
30,30,53,4.3,123000,2021,2021-03-05,1,1,1,1,,3,5,2320.75
31,31,49.3,4.3,113000,2021,2021-03-05,1,1,1,1,,2,6,2292.09
32,32,45.4,4.7,106000,2021,2021-03-05,1,1,1,1,,2,6,2334.8
33,33,64,8.9,144000,2021,2021-03-05,1,1,1,1,,3,6,2250
34,34,64.2,8.9,144000,2021,2021-03-05,1,1,1,1,,3,6,2242.99
35,35,45.4,4.7,0,2021,2021-03-05,3,1,1,1,,2,6,0
36,36,53,4.3,124000,2021,2021-03-05,1,1,1,1,,3,6,2339.62
37,37,49.3,4.3,0,2021,2021-03-05,3,1,1,1,,2,7,0
38,38,45.4,4.7,106000,2021,2021-03-05,1,1,1,1,,2,7,2334.8
39,39,64,8.9,144000,2021,2021-03-05,1,1,1,1,,3,7,2250
40,40,64.2,8.9,144000,2021,2021-03-05,1,1,1,1,,3,7,2242.99
41,41,45.4,4.7,106000,2021,2021-03-05,1,1,1,1,,2,7,2334.8
42,42,53,4.3,124000,2021,2021-03-05,1,1,1,1,,3,7,2339.62
43,43,49.3,4.3,115000,2021,2021-03-05,1,1,1,1,,2,8,2332.66
44,44,45.4,4.7,107000,2021,2021-03-05,1,1,1,1,,2,8,2356.83
45,45,64,8.9,145000,2021,2021-03-05,1,1,1,1,,3,8,2265.63
46,46,64.2,8.9,145000,2021,2021-03-05,1,1,1,1,,3,8,2258.57
47,47,45.4,4.7,107000,2021,2021-03-05,1,1,1,1,,2,8,2356.83
48,48,53,4.3,125000,2021,2021-03-05,1,1,1,1,,3,8,2358.49
49,49,49.3,4.3,115000,2021,2021-03-05,1,1,1,1,,2,9,2332.66
50,50,45.4,4.7,107000,2021,2021-03-05,1,1,1,1,,2,9,2356.83
51,51,64,8.9,145000,2021,2021-03-05,1,1,1,1,,3,9,2265.63
52,52,64.2,8.9,145000,2021,2021-03-05,1,1,1,1,,3,9,2258.57
53,53,45.4,4.7,107000,2021,2021-03-05,1,1,1,1,,2,9,2356.83
54,54,53,4.3,0,2021,2021-03-05,2,1,1,1,,3,9,0
55,55,49.3,4.3,0,2021,2021-03-05,3,1,1,1,,2,10,0
56,56,45.4,4.7,107000,2021,2021-03-05,1,1,1,1,,2,10,2356.83
57,57,64,8.9,145000,2021,2021-03-05,1,1,1,1,,3,10,2265.63
58,58,64.2,8.9,145000,2021,2021-03-05,1,1,1,1,,3,10,2258.57
59,59,45.4,4.7,107000,2021,2021-03-05,1,1,1,1,,2,10,2356.83
60,60,53,4.3,125000,2021,2021-03-05,1,1,1,1,,3,10,2358.49
61,61,49.3,4.3,0,2021,2021-03-05,3,1,1,1,,2,11,0
62,62,45.4,4.7,108000,2021,2021-03-05,1,1,1,1,,2,11,2378.85
63,63,64,8.9,0,2021,2021-03-05,3,1,1,1,,3,11,0
64,64,64.2,8.9,146000,2021,2021-03-05,1,1,1,1,,3,11,2274.14
65,65,45.4,4.7,108000,2021,2021-03-05,1,1,1,1,,2,11,2378.85
66,66,53,4.3,126000,2021,2021-03-05,1,1,1,1,,3,11,2377.36
67,67,49.3,4.3,0,2021,2021-03-05,3,1,1,1,,2,12,0
68,68,45.4,4.7,108000,2021,2021-03-05,1,1,1,1,,2,12,2378.85
69,69,64,8.9,0,2021,2021-03-05,3,1,1,1,,3,12,0
70,70,64.2,8.9,146000,2021,2021-03-05,1,1,1,1,,3,12,2274.14
71,71,45.4,4.7,108000,2021,2021-03-05,1,1,1,1,,2,12,2378.85
72,72,53,4.3,0,2021,2021-03-05,3,1,1,1,,3,12,0
